id, name, price, quantity, category
16,Livro Design Patterns,183.27,7,ESCRITÓRIO
18,Cerveja Foguete South,46.00,7,ALIMENTAÇÃO E BEBIDAS
19,Máscara PFF2 South,15.26,7,HIGIENE E SAÚDE
20,Patinete Elétrico South,524.81,7,CATEGORY NOT FOUND
21,Luvas,15,63,VESTUÁRIO
22,Patinetins,524.81,3,CATEGORY NOT FOUND
23,Camiseta South,412,14,ALIMENTAÇÃO E BEBIDAS
24,Teclado Gamer,21,13,ESCRITÓRIO
25,Batata frita,25,10,ALIMENTAÇÃO E BEBIDAS
26,Camiseta South,58.72,3,VESTUÁRIO
27,trata,12,12,ESCRITÓRIO
28,Café Solúvel South,15.08,2,ALIMENTAÇÃO E BEBIDAS
